0,1R,ACEE121,0,전공필수,건축사회환경공학부,건축사회환경공학의미래,최항석,3(3),"건축,사회,환경공학,미래",건축사회 환경공학의 미래,"건축,geosys,지반,사회,환경최항,환경모습,지자연,outehhome,토목토목,환경사회,hours,hangseok,환경공학,최항,토목,감염증,미래,acee,조화,연기,만들기,지정,문명,ph,도시","건축,geosys,지반","건축,geosys,지반,사회,환경모습","건축,geosys,지반,사회,환경최항,환경모습,지자연,토목,outehhome,환경사회,hours,hangseok,환경공학,최항,감염증,미래,acee,조화,연기"
1,1R,ACEE123,0,전공선택,건축사회환경공학부,건축시스템의이해,강경인,3(3),"건축,시스템,이해",건축시스템의 이해,"건축,유리,창호,콘크리트,특수,홈통,조부,나무방수,단열,공업화,일반구,각부,계단,지붕,벽돌,철골,도장,공사,블록,조립,건축물,터득,시스템,역학,이해,기말고사","건축,유리,창호","건축,유리,창호,콘크리트,특수","건축,유리,창호,콘크리트,특수,홈통,조부,나무방수,단열,공업화,일반구,각부,계단,지붕,벽돌,철골,도장,공사,블록,조립"
2,1R,ACEE219,1,전공선택,건축사회환경공학부,환경화학(영강),홍승관,3(3),"환경,화학",환경화학(영강),"chemistry,reactions,water,precipitation,oxidation,biochemistry,handout,kinetics,complexation,alkalinity,instances,plagiarism,base,thermodynamics,conduct,reduction,policy,equilibrium,chemical,integrity,cachemistry,stcoagulation,earchemistry,jaewon,predominance,disreactions,ardiagram,perliterature,homehomehomeeffort,carbonate,환경화학,colloidal,disreduction,ligands,chlorine,wastewater,seungkwan,wepe,mccarty,kufaculty,skhong,webfaculty,environment,uptrends,remanagement,tony,homeexaminations,recopenalty,door,standaork,phosphate,fax,iron,concentration,acee,temperature,laws,head,examination,accordance,index,thu,party,rate,tables,tbd,treatment,operation,diagrams,plant,cycle,definition,effect,assistant,regardless,characteristics,emergency,화학,hill,survey,ph,objective,education,systems,design,science,환경","chemistry,reactions,water","chemistry,reactions,water,precipitation,oxidation","chemistry,reactions,water,precipitation,oxidation,biochemistry,handout,kinetics,complexation,alkalinity,instances,plagiarism,base,thermodynamics,conduct,reduction,policy,equilibrium,chemical,integrity"
3,1R,ACEE219,2,전공선택,건축사회환경공학부,환경화학(영강),안창훈,3(3),"환경,화학",환경화학(영강),"reactions,kinetics,precipitation,complexation,ahn,equilibrium,chemical,instances,plagiarism,disreactions,chemistry,base,conduct,policy,thermodynamics,systems,recopenalty,standaork,integrity,acee,laws,head,accordance,party,rate,handout,operation,reduction,water,definition,안창훈,tuessnoeyink,dioxide,outacee,hanasquare,pochiny,fiftrends,disredox,isotherms,sawyer,gyun,gchahn,complexes,cell,disreduction,ligands,homehomefactor,carbonate,ardiagram,임태균,chlorine,predominance,adsorption,alkalinity,mccarty,jenkins,corrosion,tae,liquid,hoon,phosphate,carbon,iron,consent,concentration,equilibria,henry,oxidation,temperature,gas,instructors,net,gene,cycle,mechanisms,effect,teaching,assistant,characteristics,화학,law,exam,science,환경","reactions,kinetics,precipitation","reactions,kinetics,precipitation,complexation,ahn","reactions,kinetics,precipitation,complexation,ahn,equilibrium,chemical,instances,plagiarism,disreactions,chemistry,base,conduct,policy,thermodynamics,systems,recopenalty,standaork,integrity,acee"
4,1R,ACEE227,1,전공선택,건축사회환경공학부,유체역학및실험,유철상,3(4),"유체역학,실험",유체역학 및 실험,"유체,수로,방정식,연속방정식,손실,수중,압력,성질,역학,평명,유속,층률,점설,chanracteristics,hydrostatics,부체,곡면,수압,수두,bernoulli,난류,부력,hydrodynamics,가속도,liquid,점성,수자원,운동량,미소,정수,마찰,pipe,응력,유체역학,액체,기체,fluid,고체,gas,장치,구별,평형,물의,상대,안정,속도,유도,flow,분포,equations,단위,에너지,실험","유체,수로,방정식","유체,수로,방정식,연속방정식,손실","유체,수로,방정식,연속방정식,손실,수중,압력,성질,역학,유속,hydrostatics,부체,곡면,부력,hydrodynamics,liquid,점성,마찰,pipe,응력"
5,1R,ACEE227,2,전공선택,건축사회환경공학부,유체역학및실험(영강),손상영,3(4),"유체역학,실험",유체역학 및 실험(영강),"fluid,equation,experiments,mechanics,cont,conduits,volume,수리학,momentum,energy,유체역학,fluids,pressure,continuity,variation,components,statistics,leneords,윤용,homehomemanner,meter,roberson,이재수,pipes,headloss,teleefluid,issn,texttentative,textelger,venturi,sooncheol,junsoo,orifice,prerequimechanics,청문,netlaws,wnstn,손상영,sangyoung,sson,teleweb,hydraulics,hydrology,구미,viscosity,couple,hwang,pipe,son,copying,rubric,intuition,acee,expansion,column,river,user,williams,announcement,fail,conservation,table,준수,following,turn,foundation,rule,sets,water,mass,서관,mechanisms,flow,ph,penalty,실험,cell","fluid,equation,experiments","fluid,equation,experiments,mechanics,cont","fluid,equation,experiments,mechanics,cont,conduits,volume,수리학,momentum,energy,유체역학,fluids,pressure,continuity,variation,components,statistics,junsoo,손상영,couple"
6,1R,ACEE228,0,전공선택,건축사회환경공학부,구조역학I(영강),공정식,3(4),구조역학,구조역학 I(영강),"beam,cable,proj,arches,influence,loadings,truss,구조역학,lines,frame,modeling,mechanics,equations,hill,artheorem,attendancy,conjugate,castigliatheorem,wilbur,loads,창현,systems,hibbeler,outlines,design,deflection,term,registration,consists,moment,principle,force,prentice,forces,equilibrium,tasks,code,energy,management","beam,cable,proj","beam,cable,proj,arches,influence","beam,cable,proj,arches,influence,loadings,truss,구조역학,lines,frame,modeling,mechanics,equations,hill,conjugate,castigliatheorem,wilbur,loads,창현,systems"
7,1R,ACEE231,1,전공필수,건축사회환경공학부,공학수학I(영강),이종섭,3(3),"공학,수학",공학수학I(영강),"odes,algebra,matrix,equations,latranslatransalgebra,eigenexam,simulation,mathematics,emphasis,수학,공학","odes,algebra,matrix","odes,algebra,matrix,equations,latranslatransalgebra","odes,algebra,matrix,equations,latranslatransalgebra,eigenexam,simulation,mathematics,emphasis,수학,공학"
8,1R,ACEE231,2,전공필수,건축사회환경공학부,공학수학I(영강),정동휘,3(3),"공학,수학",공학수학I(영강),"odes,algebra,equations,latranslatranslatransalgebra,eigenexam,simulation,matrix,mathematics,emphasis,수학,공학","odes,algebra,equations","odes,algebra,equations,latranslatranslatransalgebra,eigenexam","odes,algebra,equations,latranslatranslatransalgebra,eigenexam,simulation,matrix,mathematics,emphasis,수학,공학"
9,1R,ACEE243,0,전공선택,건축사회환경공학부,재료역학실험,한상윤,1(2),"재료,역학,실험",재료 역학실험,"tension,bending,beam,bar,steel,mechanics,buckling,verification,companion,dimension,error,instruction,역학,statistics,재료,실험,exam","tension,bending,beam","tension,bending,beam,bar,steel","tension,bending,beam,bar,steel,mechanics,buckling,verification,companion,dimension,error,instruction,역학,statistics,재료,실험,exam"
